Date,Open,High,Low,Close,Adj Close,Volume
2016/11/25,27.782499,27.967501,27.737499,27.9475,26.306475,45903600
2016/11/26,27.8575,28.1175,27.8475,27.8925,26.254704,108776000
2016/11/27,27.695,28.0075,27.5175,27.865,26.228815,114115200
2016/11/28,27.9,28.049999,27.567499,27.629999,26.007616,144649200
2016/11/29,27.592501,27.735001,27.2575,27.372499,25.765238,148347600
2016/11/30,27.2925,27.522499,27.2125,27.475,25.861713,106112000
2016/12/01,27.5,27.5075,27.0625,27.2775,25.67581,137298000
2016/12/02,27.375,27.59,27.297501,27.487499,25.873484,104782000
2016/12/03,27.315001,27.797501,27.290001,27.7575,26.12763,119994800
2016/12/04,27.715,28.1075,27.65,28.030001,26.38413,108273200
2016/12/05,28.077499,28.674999,28.077499,28.487499,26.814768,137610400
2016/12/06,28.3225,28.75,28.122499,28.325001,26.66181,105497600
2016/12/07,28.459999,28.98,28.4375,28.797501,27.106564,174935200
2016/12/08,28.76,29.049999,28.745001,28.797501,27.106564,136127200
2016/12/09,28.844999,29.182501,28.807501,28.955,27.254818,186098000
2016/12/10,29.1175,29.125,28.9125,28.9925,27.290115,177404400
2016/12/11,28.950001,29.344999,28.9375,29.16,27.447779,111117600
2016/12/12,29.184999,29.375,29.17,29.237499,27.520725,85700000
2016/12/13,29.200001,29.35,29.195,29.264999,27.546614,95132800
2016/12/14,29.0875,29.127501,28.91,29.0725,27.365416,104343600
2016/12/15,28.897499,29.129999,28.897499,29.129999,27.419537,56998000
2016/12/16,29.129999,29.450001,29.122499,29.315001,27.593674,73187600
2016/12/17,29.379999,29.504999,29.049999,29.190001,27.476015,83623600
2016/12/18,29.112499,29.2775,29.1,29.182501,27.468962,60158000
2016/12/19,29.1625,29.299999,28.8575,28.955,27.254818,122345200
2016/12/20,28.950001,29.0825,28.690001,29.0375,27.33247,115127600
2016/12/21,28.9625,29.127501,28.9375,29.004999,27.30188,84472400
2016/12/22,28.98,29.215,28.952499,29.1525,27.44072,88774400
2016/12/23,29.195,29.540001,29.1175,29.477501,27.746635,127007600
2016/12/24,29.487499,29.8575,29.485001,29.747499,28.000784,134247600
2016/12/25,29.692499,29.844999,29.575001,29.7775,28.029018,97848400
2016/12/26,29.684999,29.9825,29.65,29.9375,28.179628,110354400
2016/12/27,29.725,29.825001,29.5525,29.8125,28.061968,108344800
2016/12/28,29.7775,29.905001,29.702499,29.76,28.012547,104447600
2016/12/29,29.584999,30.059999,29.555,30,28.238453,137759200
2016/12/30,30,30.125,29.9275,29.997499,28.236103,94852000
2016/12/31,29.85,30.022499,29.842501,29.945,28.186686,102389200
2017/01/01,30.112499,30.112499,29.932501,30,28.238453,130391600
2017/01/02,30,30.202499,29.942499,30.02,28.257278,88200800
2017/01/03,29.887501,30.025,29.875,29.9925,28.231392,92844000
2017/01/04,30.105,30.525,30.07,30.469999,28.680861,129510400
2017/01/05,30.4175,30.610001,30.4,30.485001,28.694977,105350400
2017/01/06,30.535,30.5875,30.4,30.487499,28.697334,82251600
2017/01/07,30.2325,30.407499,30.165001,30.407499,28.622026,121510000
2017/01/08,30.2875,30.3475,30.155001,30.3375,28.556137,196804000
2017/01/09,31.7575,32.622501,31.752501,32.1875,30.297506,447940000
2017/01/10,31.995001,32.3475,31.945,32.1325,30.245741,134841600
2017/01/11,32.077499,32.297501,32.040001,32.27,30.37516,98029200
2017/01/12,32.282501,32.625,32.224998,32.572498,30.659895,107383600
2017/01/13,32.634998,33.022499,32.612499,32.8825,30.951696,152735200
2017/01/14,32.837502,33.055,32.805,33.009998,31.071709,92016400
2017/01/15,32.912498,33.112499,32.779999,33.105,31.29623,113399600
2017/01/16,33.115002,33.235001,33.012501,33.029999,31.225332,80262000
2017/01/17,33.27,33.455002,33.1875,33.322498,31.501852,92141600
2017/01/18,33.3675,33.772499,33.3125,33.755001,31.910725,132904800
2017/01/19,33.880001,34.067501,33.654999,33.877499,32.026531,142492400
2017/01/20,33.9175,33.974998,33.709999,33.837502,31.98871,90338400
2017/01/21,33.775002,33.9575,33.775002,33.93,32.076164,88792800
2017/01/22,34.057499,34.1875,33.994999,34.174999,32.30777,98028800
2017/01/23,34.107498,34.279999,34.0275,34.2775,32.404671,83347600
2017/01/24,34.345001,34.369999,34.075001,34.1325,32.267601,83152800
2017/01/25,33.977501,34.165001,33.82,34.165001,32.298317,87106400
2017/01/26,34.285,34.360001,34.07,34.232498,32.362137,81029600
2017/01/27,34.27,34.360001,34.174999,34.247501,32.376312,93931600
2017/01/28,34.4725,35.037498,34.400002,34.947498,33.038071,145658400
2017/01/29,35,35.07,34.689999,34.740002,32.841908,104844000
2017/01/30,34.695,34.9575,34.647499,34.945,33.035702,84432400
2017/01/31,34.842499,34.942501,34.650002,34.834999,32.931717,87000000
2017/02/01,34.764999,34.994999,34.697498,34.880001,32.974255,69785200
2017/02/02,34.737499,34.950001,34.705002,34.75,32.851357,74828800
2017/02/03,34.685001,34.697498,34.262501,34.669998,32.775738,88623600
2017/02/04,34.8125,34.84,34.66,34.785,32.884441,78451200
2017/02/05,34.712502,34.857498,34.705002,34.799999,32.898624,69686800
2017/02/06,34.825001,34.912498,34.709999,34.747501,32.848991,61236400
2017/02/07,34.852501,35.1875,34.7575,35.115002,33.196415,102767200
2017/02/08,35.18,35.255001,35.064999,35.172501,33.250771,76928000
2017/02/09,35.25,35.25,34.9725,34.997501,33.085335,175540000
2017/02/10,35.099998,35.375,35.057499,35.365002,33.432762,86168000
2017/02/11,35.5275,35.700001,34.932499,34.959999,33.049881,158119600
2017/02/12,34.962502,35.400002,34.939999,35.355,33.423313,103440800
2017/02/13,35.314999,35.395,35.1525,35.23,33.30513,81385200
2017/02/14,35.375,35.435001,35.087502,35.16,33.238964,89582400
2017/02/15,34.8475,35.305,34.654999,35.220001,33.295673,94300400
2017/02/16,35.227501,36.009998,35.154999,35.950001,33.985794,133499200
2017/02/17,35.919998,36.122501,35.797501,36.029999,34.061417,116760000
2017/02/18,36.047501,36.125,35.875,35.982498,34.016514,84829200
2017/02/19,35.93,36.067501,35.752499,35.915001,33.952702,78646800
2017/02/20,35.927502,36.029999,35.762501,35.924999,33.96217,79942800
2017/02/21,35.8125,36.2225,35.7925,36.192501,34.215054,79565600
2017/02/22,36.055,36.365002,35.952499,36.005001,34.037796,110871600
2017/02/23,36.072498,36.130001,35.862499,35.915001,33.952702,84596000
2017/02/24,35.932499,36.044998,35.817501,35.834999,33.877075,66688800
2017/02/25,35.900002,35.970001,35.724998,35.7925,33.836903,75733600
2017/02/26,35.735001,35.837502,35.014999,35.407501,33.472942,121517600
2017/02/27,35.400002,35.537498,35.252499,35.450001,33.513111,81400000
2017/02/28,35.477501,35.595001,35.262501,35.262501,33.335861,71291600
2017/03/01,35.369999,35.470001,35.217499,35.4575,33.520195,66328400
2017/03/02,35.352501,35.509998,35.2775,35.299999,33.371304,58790000
2017/03/03,35.470001,35.5,35.112499,35.169998,33.248413,69313600
2017/03/04,35.305,35.73,35.290001,35.610001,33.664356,93278400
2017/03/05,35.610001,35.669998,35.462502,35.567501,33.624199,69283600
2017/03/06,35.875,35.987499,35.794998,35.91,33.947971,68537200
2017/03/07,35.977501,36.224998,35.967499,36.1325,34.158325,75486000
2017/03/08,36.1175,36.150002,35.845001,35.919998,33.957432,80164800
2017/03/09,35.98,36.040001,35.827499,35.947498,33.983425,56985200
2017/03/10,36.022499,36.075001,35.817501,35.912498,33.950336,83441600
